track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2gpwaAJnSDTevgZa4uyM0H,POPPY - Japanese Ver.,0.819,0.709,4.0,-5.351,0.0,0.0382,0.314,0.0,0.13,0.638,126.001
7ovUcF5uHTBRzUpB6ZOmvt,アイドル,0.574,0.935,1.0,-2.783,1.0,0.0926,0.112,1.07e-06,0.367,0.836,166.008
7irNlzUSPNgCDtEyQuS3lm,Arena - Remixed by The Japanese Popstars,0.517,0.796,10.0,-6.212,0.0,0.0433,8.91e-05,0.877,0.111,0.292,124.99
1SGsYkgcVoGd4GCBlQyuYh,RuLe,0.66,0.989,8.0,-1.305,0.0,0.0681,0.0176,0.000252,0.267,0.814,132.015
6ENC3PhZGPsDkevvEC4JXm,Shells Of Silver,0.35,0.735,0.0,-7.146,1.0,0.173,0.173,0.000689,0.61,0.261,99.972
1Sem1dIkjX7tA8Nf5hEy8R,Tokyo Flash,0.627,0.648,2.0,-5.212,1.0,0.0318,0.00255,5.17e-06,0.0466,0.614,97.995
5HMsT7K9Pe2GQ69cxmLNpW,Let Go,0.727,0.81,9.0,-5.167,0.0,0.0524,0.000969,0.526,0.333,0.442,128.008
62Lv9WcrfzJqhvYDbilJy3,たぶん,0.747,0.666,5.0,-6.395,1.0,0.0324,0.146,0.000912,0.0981,0.731,90.008
2m9hr7dNb63ybRsiuavRS4,Song For Lisa - Benny Benassi Remix,0.626,0.591,10.0,-5.622,1.0,0.0448,0.00137,0.000952,0.0766,0.226,126.014
7ajpbW6tBpqUI9foCtwlLw,祝福,0.553,0.958,4.0,-3.159,0.0,0.073,0.0186,3.08e-05,0.297,0.541,170.045
7v3chKWVHNbrGACa8ilNeP,"The Ballad of the Witches' Road (Pop Version) - From ""Agatha All Along""/Soundtrack Version",0.515,0.398,0.0,-6.951,0.0,0.0273,0.715,1.76e-05,0.334,0.318,75.997
2U6mFmBDjaAu6oCCDRpRet,斜陽,0.786,0.45,5.0,-6.182,1.0,0.0453,0.0325,0.0,0.226,0.88,123.995
2EkvvO8mLjaCyXkyaX5VAG,Loyalty,0.671,0.601,9.0,-7.315,1.0,0.0394,0.01,0.367,0.154,0.26,88.05
7z6qHGEKxRtwtYym2epV7l,踊,0.707,0.965,1.0,-0.736,1.0,0.105,0.15,1.38e-06,0.726,0.777,128.003
2gemFKaLHea3ftkbfDcrb5,Cho Fast,0.776,0.673,5.0,-5.647,0.0,0.179,0.114,0.0,0.296,0.523,95.974
2G2X5AMqBRE2PgS3qCWfqf,2:23 AM,0.587,0.611,10.0,-8.862,1.0,0.0739,0.244,2.88e-05,0.238,0.499,179.951
5SGAezl9ODHATAYPvugghz,Natsua Kashi,0.82,0.635,4.0,-6.845,0.0,0.369,0.294,0.0,0.11,0.551,80.042
5ldU0PB4uz1kcWstbLgObt,Perfume,0.424,0.989,6.0,-5.383,1.0,0.0654,0.000545,0.0123,0.372,0.747,154.403
4b8Trwk6XQadIl8ubnNWkr,You and Me,0.223,0.918,11.0,-4.324,1.0,0.471,0.237,5.57e-05,0.126,0.253,175.713
1rdr5D1dSqbEmLa97l36NZ,POP SONG,0.764,0.805,11.0,-6.47,0.0,0.118,0.268,6.29e-06,0.937,0.834,109.975
7aQOA3ggmKpjleEtabVYbI,POPPY - Japanese Ver.,0.819,0.709,4.0,-5.351,0.0,0.0382,0.314,0.0,0.13,0.638,126.001
7537JfhvVpEqkrY2CIY7zu,好きだ,0.771,0.935,4.0,-3.366,0.0,0.0327,0.174,1.06e-06,0.404,0.86,120.032
0ON8NbOhc6Y3Lvdg8RGH1A,Let Go,0.72,0.807,5.0,-5.154,1.0,0.0556,0.000901,0.429,0.325,0.454,128.002
6TyNKENZ3rrnZklMzj1z6z,3:03 PM,0.778,0.572,11.0,-10.016,0.0,0.148,0.609,0.0179,0.0772,0.797,82.547
0zJBtKFoOolutPdKuQBuAF,Japanese-Pop-Music,0.517,0.895,8.0,-3.794,1.0,0.0714,0.00108,0.00202,0.0671,0.644,140.067
3kFEX1OTRaZ5WfX3X42BQP,チョコレイト・ディスコ,0.572,0.99,3.0,-1.959,1.0,0.0351,0.157,0.0079,0.0519,0.963,128.011
52QLogPTXh3KJI7JwjG2vP,4'33 - Japanese Popstars Watch Family Guy on Mute Mix Cage Against the Machine Version,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6hBPSAsflvq3VVl3O34FfW,Idol,0.596,0.954,1.0,-2.75,0.0,0.11,0.149,0.0,0.465,0.83,165.778
2lgPq123AnJlC8ajLXoRUW,Closer To The Edge - The Japanese Popstars Mix,0.594,0.916,8.0,-4.188,1.0,0.0865,6.52e-05,0.522,0.0834,0.193,127.0
3LqZhe0pkxDCIHH0eQabDv,wonder2,0.634,0.975,8.0,-2.941,0.0,0.0466,0.503,0.0376,0.335,0.818,127.653
4ecB9DJWxPgklgK18QReZ1,Matter Of Time - OC & Verde dub,0.759,0.683,9.0,-8.724,1.0,0.0855,0.00907,0.85,0.0751,0.149,125.998
69O0RdcJkH7eimOTXw41L7,Adventure,0.776,0.855,9.0,-3.757,1.0,0.0337,0.237,0.0,0.0707,0.856,128.024
0HIoqptSi0bei1EkpZ9FNT,Black Light,0.66,0.676,0.0,-8.71,1.0,0.0394,0.0468,0.0822,0.0498,0.606,90.026
3vjGM4SVWYwEg12ccHdGqw,Future Pop,0.528,0.971,5.0,-1.029,1.0,0.0962,0.0204,0.0449,0.101,0.181,180.004
4yMUJoMgUOxMQKBTKD9vrl,JAPANESE GIRL,0.45,0.927,9.0,-4.571,1.0,0.0814,0.00017,0.0,0.0958,0.887,173.998
77WrUAbySLHjGwd5n9B7WN,Moon,0.69,0.836,10.0,-3.899,0.0,0.0562,0.00521,0.00334,0.0883,0.685,119.969
13cnHG337rKv5qgBZl9EcA,Red Brick,0.797,0.509,0.0,-7.187,1.0,0.0375,0.0639,2.27e-05,0.121,0.737,104.017
0E5TZgeNbdxoR7YwZG9PTO,ポリリズム,0.533,0.951,5.0,-1.838,0.0,0.0371,0.01,0.0,0.335,0.831,128.0
18L6KppkJ3SzdM169N0Xbh,You Can Get It,0.593,0.651,4.0,-6.623,1.0,0.0543,0.0757,0.00146,0.16,0.432,96.996
1cVsRfHoJA5AwQ7N9T742c,TOKYO GIRL - Remastered,0.728,0.915,2.0,-3.13,1.0,0.0339,0.222,0.153,0.0831,0.659,127.97
5zKOK7Iw6Em7rkWJmquZYi,Ballad 0,0.442,0.469,8.0,-8.908,1.0,0.0303,0.292,0.952,0.264,0.187,77.036
7F0zxzWvVEBamWpY8sbBPN,引力,0.738,0.875,11.0,-3.869,0.0,0.0418,0.0975,0.000106,0.0594,0.8,140.003
3KJHDWhswwu5WZdGfVaXSX,Feel the POP - Japanese ver.,0.748,0.763,9.0,-6.015,1.0,0.159,0.133,0.0,0.305,0.671,149.033
7oLjaDKylMrzqLc4GflC6W,Samurai Cafè,0.662,0.365,0.0,-9.859,0.0,0.0488,0.00331,0.778,0.14,0.378,80.002
4D8wqdUzClwaWXLWRCv0Vi,Cassette Tape Dream,0.86,0.663,8.0,-8.511,0.0,0.0711,0.222,0.000121,0.0937,0.948,107.004
0aTZLgFm5HqP6uQxJOhNMA,Fight The Night,0.365,0.889,4.0,-5.003,0.0,0.0422,0.00829,0.55,0.231,0.318,109.985
6Dwv4HI2oLXiyqDDiV8MKT,Tokyo Flash,0.627,0.648,2.0,-5.212,1.0,0.0318,0.00255,5.17e-06,0.0466,0.614,97.995
539wpuFo5u3MOEr3aJ0u6M,Song For Lisa,0.52,0.932,7.0,-4.359,0.0,0.0465,0.00103,1.84e-06,0.12,0.263,125.985
13PeYnWsFhFAQlXYGBaGTS,POP STAR,0.644,0.989,5.0,-2.773,1.0,0.0583,0.0299,9.19e-06,0.171,0.852,140.098
