track_id,track_name,artist_name,album_name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2gpwaAJnSDTevgZa4uyM0H,POPPY - Japanese Ver.,STAYC,POPPY (Japanese Ver.),2022-11-16,47,0.819,0.709,4.0,-5.351,0.0,0.0382,0.314,0.0,0.13,0.638,126.001
7ovUcF5uHTBRzUpB6ZOmvt,アイドル,YOASOBI,アイドル,2023-04-12,72,0.574,0.935,1.0,-2.783,1.0,0.0926,0.112,1.07e-06,0.367,0.836,166.008
7irNlzUSPNgCDtEyQuS3lm,Arena - Remixed by The Japanese Popstars,Daft Punk,TRON: Legacy Reconfigured,2011-01-01,27,0.517,0.796,10.0,-6.212,0.0,0.0433,8.91e-05,0.877,0.111,0.292,124.99
1SGsYkgcVoGd4GCBlQyuYh,RuLe,Ado,RuLe,2024-07-05,56,0.66,0.989,8.0,-1.305,0.0,0.0681,0.0176,0.000252,0.267,0.814,132.015
6ENC3PhZGPsDkevvEC4JXm,Shells Of Silver,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,33,0.35,0.735,0.0,-7.146,1.0,0.173,0.173,0.000689,0.61,0.261,99.972
1Sem1dIkjX7tA8Nf5hEy8R,Tokyo Flash,Vaundy,strobo,2020-05-27,45,0.627,0.648,2.0,-5.212,1.0,0.0318,0.00255,5.17e-06,0.0466,0.614,97.995
5HMsT7K9Pe2GQ69cxmLNpW,Let Go,The Japanese Popstars,Let Go,2010-01-01,26,0.727,0.81,9.0,-5.167,0.0,0.0524,0.000969,0.526,0.333,0.442,128.008
62Lv9WcrfzJqhvYDbilJy3,たぶん,YOASOBI,たぶん,2020-07-20,61,0.747,0.666,5.0,-6.395,1.0,0.0324,0.146,0.000912,0.0981,0.731,90.008
2m9hr7dNb63ybRsiuavRS4,Song For Lisa - Benny Benassi Remix,The Japanese Popstars,Song For Lisa,2011-01-01,16,0.626,0.591,10.0,-5.622,1.0,0.0448,0.00137,0.000952,0.0766,0.226,126.014
7ajpbW6tBpqUI9foCtwlLw,祝福,YOASOBI,祝福,2022-10-01,61,0.553,0.958,4.0,-3.159,0.0,0.073,0.0186,3.08e-05,0.297,0.541,170.045
7v3chKWVHNbrGACa8ilNeP,"The Ballad of the Witches' Road (Pop Version) - From ""Agatha All Along""/Soundtrack Version",Japanese Breakfast,"The Ballad of the Witches' Road (Pop Version) [From ""Agatha All Along""]",2024-10-18,45,0.515,0.398,0.0,-6.951,0.0,0.0273,0.715,1.76e-05,0.334,0.318,75.997
2U6mFmBDjaAu6oCCDRpRet,斜陽,ヨルシカ,斜陽,2023-05-08,64,0.786,0.45,5.0,-6.182,1.0,0.0453,0.0325,0.0,0.226,0.88,123.995
2EkvvO8mLjaCyXkyaX5VAG,Loyalty,Dragon Gate Music,Japanese Pop,2021-02-24,11,0.671,0.601,9.0,-7.315,1.0,0.0394,0.01,0.367,0.154,0.26,88.05
7z6qHGEKxRtwtYym2epV7l,踊,Ado,踊,2021-04-27,57,0.707,0.965,1.0,-0.736,1.0,0.105,0.15,1.38e-06,0.726,0.777,128.003
2gemFKaLHea3ftkbfDcrb5,Cho Fast,Dragon Gate Music,Japanese Pop,2021-02-24,11,0.776,0.673,5.0,-5.647,0.0,0.179,0.114,0.0,0.296,0.523,95.974
2G2X5AMqBRE2PgS3qCWfqf,2:23 AM,しゃろう,2:23 AM,2021-02-19,51,0.587,0.611,10.0,-8.862,1.0,0.0739,0.244,2.88e-05,0.238,0.499,179.951
5SGAezl9ODHATAYPvugghz,Natsua Kashi,Dragon Gate Music,Japanese Pop,2021-02-24,11,0.82,0.635,4.0,-6.845,0.0,0.369,0.294,0.0,0.11,0.551,80.042
5ldU0PB4uz1kcWstbLgObt,Perfume,Perfume,Perfume～Complete Best～,2006-08-02,42,0.424,0.989,6.0,-5.383,1.0,0.0654,0.000545,0.0123,0.372,0.747,154.403
