track_id,track_name,artist_name,album_name,release_date,popularity
2gpwaAJnSDTevgZa4uyM0H,POPPY - Japanese Ver.,STAYC,POPPY (Japanese Ver.),2022-11-16,47
7ovUcF5uHTBRzUpB6ZOmvt,アイドル,YOASOBI,アイドル,2023-04-12,72
7irNlzUSPNgCDtEyQuS3lm,Arena - Remixed by The Japanese Popstars,Daft Punk,TRON: Legacy Reconfigured,2011-01-01,27
1SGsYkgcVoGd4GCBlQyuYh,RuLe,Ado,RuLe,2024-07-05,56
6ENC3PhZGPsDkevvEC4JXm,Shells Of Silver,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,33
1Sem1dIkjX7tA8Nf5hEy8R,Tokyo Flash,Vaundy,strobo,2020-05-27,45
5HMsT7K9Pe2GQ69cxmLNpW,Let Go,The Japanese Popstars,Let Go,2010-01-01,26
62Lv9WcrfzJqhvYDbilJy3,たぶん,YOASOBI,たぶん,2020-07-20,61
2m9hr7dNb63ybRsiuavRS4,Song For Lisa - Benny Benassi Remix,The Japanese Popstars,Song For Lisa,2011-01-01,16
7ajpbW6tBpqUI9foCtwlLw,祝福,YOASOBI,祝福,2022-10-01,61
7v3chKWVHNbrGACa8ilNeP,"The Ballad of the Witches' Road (Pop Version) - From ""Agatha All Along""/Soundtrack Version",Japanese Breakfast,"The Ballad of the Witches' Road (Pop Version) [From ""Agatha All Along""]",2024-10-18,45
2U6mFmBDjaAu6oCCDRpRet,斜陽,ヨルシカ,斜陽,2023-05-08,64
2EkvvO8mLjaCyXkyaX5VAG,Loyalty,Dragon Gate Music,Japanese Pop,2021-02-24,11
7z6qHGEKxRtwtYym2epV7l,踊,Ado,踊,2021-04-27,57
2gemFKaLHea3ftkbfDcrb5,Cho Fast,Dragon Gate Music,Japanese Pop,2021-02-24,11
2G2X5AMqBRE2PgS3qCWfqf,2:23 AM,しゃろう,2:23 AM,2021-02-19,51
5SGAezl9ODHATAYPvugghz,Natsua Kashi,Dragon Gate Music,Japanese Pop,2021-02-24,11
5ldU0PB4uz1kcWstbLgObt,Perfume,Perfume,Perfume～Complete Best～,2006-08-02,42
4b8Trwk6XQadIl8ubnNWkr,You and Me,Dragon Gate Music,Japanese Pop,2021-02-24,11
1rdr5D1dSqbEmLa97l36NZ,POP SONG,Kenshi Yonezu,POP SONG,2022-02-07,45
7aQOA3ggmKpjleEtabVYbI,POPPY - Japanese Ver.,STAYC,POPPY (Japanese Ver.),2022-11-23,33
7537JfhvVpEqkrY2CIY7zu,好きだ,YOASOBI,好きだ,2022-05-30,49
0ON8NbOhc6Y3Lvdg8RGH1A,Let Go,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,19
6TyNKENZ3rrnZklMzj1z6z,3:03 PM,しゃろう,3:03 PM,2022-02-24,51
0zJBtKFoOolutPdKuQBuAF,Japanese-Pop-Music,KANKAKU PIERO,はじめてのはじまり,2016-05-31,15
3kFEX1OTRaZ5WfX3X42BQP,チョコレイト・ディスコ,Perfume,GAME,2008,37
52QLogPTXh3KJI7JwjG2vP,4'33 - Japanese Popstars Watch Family Guy on Mute Mix Cage Against the Machine Version,John Cage,Cage Against the Machine,2010-12-12,7
6hBPSAsflvq3VVl3O34FfW,Idol,YOASOBI,E-SIDE 3,2024-04-12,46
2lgPq123AnJlC8ajLXoRUW,Closer To The Edge - The Japanese Popstars Mix,Thirty Seconds To Mars,Closer To The Edge,2010-01-01,4
3LqZhe0pkxDCIHH0eQabDv,wonder2,Perfume,Perfume～Complete Best～,2006-08-02,37
4ecB9DJWxPgklgK18QReZ1,Matter Of Time - OC & Verde dub,The Japanese Popstars,Matter Of Time,2020-08-27,12
69O0RdcJkH7eimOTXw41L7,Adventure,YOASOBI,Adventure,2024-02-16,47
0HIoqptSi0bei1EkpZ9FNT,Black Light,BUMPER,pop songs 2020,2020-09-04,28
3vjGM4SVWYwEg12ccHdGqw,Future Pop,Perfume,Future Pop,2018-08-15,22
4yMUJoMgUOxMQKBTKD9vrl,JAPANESE GIRL,BEAT CRUSADERS,P.O.A.〜POP ON ARRIVAL〜,2005-05-11,29
77WrUAbySLHjGwd5n9B7WN,Moon,Perfume,Moon,2023-08-17,42
13cnHG337rKv5qgBZl9EcA,Red Brick,BUMPER,pop songs 2020,2020-09-04,24
0E5TZgeNbdxoR7YwZG9PTO,ポリリズム,Perfume,GAME,2008,35
18L6KppkJ3SzdM169N0Xbh,You Can Get It,BUMPER,pop songs 2020,2020-09-04,24
1cVsRfHoJA5AwQ7N9T742c,TOKYO GIRL - Remastered,Perfume,Future Pop,2018-08-15,33
5zKOK7Iw6Em7rkWJmquZYi,Ballad 0,BUMPER,pop songs 2020,2020-09-04,23
7F0zxzWvVEBamWpY8sbBPN,引力,Perfume,Perfume～Complete Best～,2006-08-02,33
3KJHDWhswwu5WZdGfVaXSX,Feel the POP - Japanese ver.,ZEROBASEONE,Feel the POP (Japanese ver.),2024-05-17,39
7oLjaDKylMrzqLc4GflC6W,Samurai Cafè,24/7 lofi,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,2
4D8wqdUzClwaWXLWRCv0Vi,Cassette Tape Dream,しゃろう,Cassette Tape Dream,2021-02-21,35
0aTZLgFm5HqP6uQxJOhNMA,Fight The Night,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,3
6Dwv4HI2oLXiyqDDiV8MKT,Tokyo Flash,Vaundy,Tokyo Flash,2019-11-29,23
539wpuFo5u3MOEr3aJ0u6M,Song For Lisa,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,2
13PeYnWsFhFAQlXYGBaGTS,POP STAR,Ken Hirai,FAKIN' POP,2005,34
15JkXBaaE9dUwylcKCQxlR,Shells Of Silver,The Japanese Popstars,Shells Of Silver,2011-01-01,8
171TB5BXHExQGVxtDSosd2,ビタミンドロップ,Perfume,Perfume～Complete Best～,2006-08-02,28
2ui4fOKIGzQXU5UJG8uKGa,Destroy,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,2
1N5G5hBH6ASbWZs0fGwdIV,JAPANESE WOMAN,Bread And Butter,Monday Morning,1980,29
3j6ReDwmtb1cUAMoihdLc0,Joshua - Original Club Instrumental,The Japanese Popstars,Joshua,2011-01-01,1
1pDGdfoaFjaFaGAtq1z595,ハナミズキ,Yo Hitoto,J-POP Viral Hits: loved by K-POP stars,2023-06-16,18
4HIrp1rMzr95X0Xw4Ljgft,Take Forever,The Japanese Popstars,Controlling Your Allegiance,2011-01-01,7
6zTxT0lmklEOfH8TtNLd1a,City Pop,Sugar's Campaign,City Pop,2019-05-31,24
3C0yxTDnKHA1BV5ZXy5e49,Blue Tongue,John Digweed,Versus,2013-10-07,6
10ej4fERhZetpREUAbxUFb,10C,しゃろう,10C,2021-02-18,37
3Wt0F41P9eevGDvBSIIqhE,ASAP - Japanese Ver.,STAYC,POPPY (Japanese Ver.),2022-11-23,24
6lQqbkiYCZtr5HdD7eWdTA,東京LOVER,Mioko Yamaguchi,Yume Hiko,1980,29
2cqryvZw7qDF8UynRBNS6Q,Never Gonna Give You Up (Japanese Version),Caitlin Myers,City Poppin',2021-03-07,35
4I96Nm6WvJgFXqnl5vQFjY,Peace - The Japanese Popstars Remix,Depeche Mode,"Sounds of The Universe | The 12"" Singles",2023-08-04,5
6Ujff0V1HPkvD6QxLHctff,ポリゴンウェイヴ,Perfume,ポリゴンウェイヴ,2021-07-02,28
3e5ahs9BMdaz1I6MTrGMOV,Japanese-Pop-Music - retake ver.,KANKAKU PIERO,Rakugakipeiji,2019-02-04,2
1gY6DwODrCnoiezXDKgyE5,ポリゴンウェイヴ - Original Mix,Perfume,PLASMA,2022-07-27,28
0wSQxRjHwKpat4YeTg0KKY,Japanese-Pop-Music,KANKAKU PIERO,Zenra,2019-09-04,1
1ZjL8ud1dhT9PDVe3Ov8kF,再生,Perfume,PLASMA,2022-07-27,38
61V8MzuVfWKNMEAxrVdgQ8,Japanese-Pop-Music,KANKAKU PIERO,1826,2018-07-28,1
5dz0hCNxsQJSQadpeEfK72,Mermaid,WEDNESDAY CAMPANELLA,POP DELIVERY,2024-06-05,28
41fsDzzR2sfX4mecsLfncN,Japanese-Pop-Music,KANKAKU PIERO,Break,2015-06-09,2
11dSzgfnrwDrODPU2A2PRD,好きだ,YOASOBI,はじめての - EP,2023-05-10,32
66TjT2QwECFY9N6QrpXeO2,"Fall - (From ""TRON: Legacy"") [Japanese Popstars Remix]",Daft Punk,DCONSTRUCTED,2014-01-01,8
2BKnDjJA2uystZA6TciFVE,飛行,ヨルシカ,夏草が邪魔をする,2017-06-28,39
2sJZ12CZ56BnntQAwD2EPL,Popee the Clown - Japanese Version,青柳常夫,Popee the Performer: Popee the Clown,2002-08-21,8
34HnIHNRAmj0vNoCwh9L6Z,Moon,Perfume,Moon,2023-09-06,24
1Gb80QJ4mnwSAp2Yol1iB2,Wonky - Japanese Popstars Mix,Orbital,Wonky,2012-05-21,0
0nMcZfnRkGKFLrHpmRFGKi,NIGHT DANCER,imase,J-POP & J-ROCK : JAPAN BEST HITS,2023-04-03,22
5DQ56NfWSwFY03GjFWW3Bu,Sanshi Suimei - Traditional Japanese Style Mix,梅村仁,Japanese Style Pops & Healing (vol.3 Shamisen),2019-03-22,16
6tEUPYdS5m5LmZnmARmOCT,Spending all my time,Perfume,Spending all my time,2012-08-15,37
5wc5wRyWq1p7X59PU3fZXi,Daichino Kaze - Traditional Japanese Style Mix,梅村仁,Japanese Style Pops & Healing vol.2 Shamisen,2018-12-05,16
57rJlyLrqT97JCX90JbdCS,ファンデーション,Perfume,Perfume～Complete Best～,2006-08-02,23
5kskVZ5D1P5FS9z5PYHpKG,A Japanese Popstar,Raid,Raid Demonstration 2023,2023-07-07,1
0PS3Dtk4MMkrFVXa2Yav3y,575,Perfume,JPN,2012-02-29,21
0pqfdFt4WHavGluMQCtemb,Matter Of Time - The Japanese Popstars Techno mix,The Japanese Popstars,Matter Of Time,2020-08-27,1
6cdTg0eMWki5wbLjPA6vmy,If you wanna,Perfume,Future Pop,2018-08-15,18
4tvIQ57fWca31AYe7NujCz,Beauty and the Beast - Japanese Version,POPURA,Beauty and the Beast (Special Edition) [Original Motion Picture Soundtrack/Japanese Version],2002-01-01,13
3dTlqznloNjHBFH65UvoMt,シークレットシークレット,Perfume,GAME,2008,22
7yVbqHDFL6tuUT7ywOT0Vv,A Dream Is A Wish Your Heart Makes - Pop Version,Kimberly Locke,Cinderella Special Edition (Original Motion Picture Soundtrack/Japanese Version),2005-10-19,17
0EPiFuXH49M1kEWhAC6G4O,クエスチョン,meiyo,POP SOS,2023-12-06,33
5OpakLlvLUPPeyzh0SZ8nS,Freedom Love,Dragon Gate Music,Japanese Pop,2021-02-24,1
0avzpSgESx7sjlxFDr98iv,NIGHT FLIGHT,Perfume,トライアングル,2009,24
4Yzj4XfrLQmbRQpWIJ84Re,Strolling Around an Old Castle in Komoro,Ryutaro Hirota,Japanese Popular Songs,1997-09-30,0
0zWuIu9wDk1lpSbK8yFZmv,Spring of Life,Perfume,Spring of Life,2012-04-11,40
2Ivt6MB3CMiXRPsBrQBF1o,I Found a Tiny Autumn,Yoshinao Nakada,Japanese Popular Songs,1997-09-30,2
3QwkPWlV0Y75z2LHcTBOH2,コミュニケーション,Perfume,Spring of Life,2012-04-11,36
5ZKaL2m56nBuTfupgCJtW5,Nu Vox,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,2
69FgxUNACAfTiWmcTjSftU,Evening Primrose,Tadasuke Ōno,Japanese Popular Songs,1997-09-30,2
0qMWgeZ0noIwad06RmVQpm,Spinning World,Perfume,PLASMA,2022-07-27,33
06dzwsCEI0R9KL84J4HwDP,"Over There, Over Yonder",Yoshinao Nakada,Japanese Popular Songs,1997-09-30,1
2Mhu1uLMlKlvc0V17Tni0v,IIHI TABIDACHI,Yasukazu Kano,JAPANESE POP STANDARDS with shinobue and piano,2021-11-03,1
22N8TullxTHBKTvt1FYzQM,Dial 1,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,4
3zIg70E1b4dXlK2zFSPHlF,popcorn nights,7co,popcorn nights,2022-10-28,28
4q37IesC5m7EkvZJTdF5zK,I Talked with the Fog,Yoshinao Nakada,Japanese Popular Songs,1997-09-30,1
3U4q2PzQAGlT4iistqvnDl,Routine Life,Yuinishio,Routine Life,2024-01-10,24
52uOkVWm27R6V1eh8naDC1,Dried Gourd Shavings,Fumihiko Fukui,Japanese Popular Songs,1997-09-30,0
4xOXlqUgehg1zyWhmFswQK,Memories,NiziU,Memories,2024-02-06,50
4775TJb5xEsTLR8kGYSKNw,KAWANO NAGARENO YOUNI,Yasukazu Kano,JAPANESE POP STANDARDS with shinobue and piano,2021-11-03,1
1MmiYaCIvog6akmLaTg76P,GAME,Perfume,GAME,2008,20
7gQa1tt7efA4gdhU5FuPxS,Dial 2,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,2
6Jf6l54ftlk6rvk14v0kma,The Light,Perfume,The Light,2024-05-24,32
27OPlS2GWqVDhCQjNjyG3J,Plover,Ryutaro Hirota,Japanese Popular Songs,1997-09-30,0
2wPSiRWMFFeL1FC4MJ3Qxf,POP SONG,Kenshi Yonezu,M八七,2022-05-18,35
260NhUbJUTQO6zI0pGqQIa,Kojo no tsuki (Moon at a desolate castle) [text by B. Tsuchii]: The Moon Over a Ruined Castle,Rentaro Taki,Japanese Popular Songs,1997-09-30,2
6NkIytZwFeUreuosblTrcI,IGGY POP FAN CLUB,Number Girl,OMOIDE IN MY HEAD 1 ~BEST & B-SIDES~,2005-03-02,26
4y5AEnGBaDIJhNLdwkZGTq,Blood In the Ballroom,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,0
6nUsvSdZZeqMKlRHFCC34I,ポイント,Perfume,LEVEL3,2013-10-16,23
0N1xOyCkgYnEiKWA5JvekZ,Mother's Song,Kunihiko Hashimoto,Japanese Popular Songs,1997-09-30,1
0yIE2un7AXpV5W09XpvX9r,Plasma,Perfume,PLASMA,2022-07-27,24
2cVsY8bBljqKSCKAUdbcwQ,Suzhou Nocturne,服部良一,Japanese Popular Songs,1997-09-30,1
6HPIILGgNy0a4zGnMdmBgv,ポリゴンウェイヴ - Original Mix,Perfume,ポリゴンウェイヴ EP,2021-09-22,29
0QexojO6FdpFC1ZEuBDw1g,Breaking Breakfast,Cheating Good,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1
5yq8JkSClLJVdfy4ZMUAmB,TOKYO GIRL,Perfume,TOKYO GIRL,2017-02-15,42
4Wnhxre1nYm7ZgOArG5EUC,Ghost in the House,Lo Fi Hip Hop,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1
2W8JpBzB3rVus7hAdkQ4rx,ピリオド,imase,ピリオド,2023-03-17,34
4NxAa8UcBVqvxrGLjYC1Yb,Nonchalance Kimochi,Serpent's Eye,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1
0EwlXphe0uRmf87emS99LT,Komoriuta (Lullaby): Lullaby,Ikuma Dan,Japanese Popular Songs,1997-09-30,1
69GFNPqBlDecUMaZ95b5ha,NIGHT DANCER,imase,J-Pop 輕旅行,2022-10-13,23
10mcuH6Np1gTdJUt9xQNDd,Element Pump,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,0
3M6R3MaIkliOaZQ4YX67W1,451,ヨルシカ,451,2023-03-08,35
71Gr0OWC7FgtJDjGCgtafc,Denim Showdown,From Japan,Japanese Pop LoFi: Large HipHop & City Pop Asian Collection,2020-01-16,1
0xHXEXHx2dQmQDsOldY06H,花,Fujii Kaze,Japan Best Hits 2023,2023-12-01,21
5WRCc26OHSDM2EE7I8iJe9,Tokyo Flight,Dragon Gate Music,Japanese Pop,2021-02-24,0
4G4WiHW1aRHYky9Pl37kgn,Japasummer,LADYBABY,Japasummer,2024-08-04,23
6jh3p5ogXoBhOs5cEHw7KR,Autumn Field,Ikuma Dan,Japanese Popular Songs,1997-09-30,1
54mG1R0iqWi7COJrHAXSkg,死ぬのがいいわ,Fujii Kaze,The Best J-Pop 2022,2022-09-20,24
51kUqd3shUlNMiaB2G1yMM,Flowery Town,Ikuma Dan,Japanese Popular Songs,1997-09-30,0
3IOc5ln9w9cTH1SLQn77h6,Japanese Pride,WANIMA,Are You Coming?,2015-11-04,38
7LZI253lRAUSmf2s8cgvSB,Shareware 1,Nmesh,Japanese Pop Over Sleep (Deluxe Edition),2002-08-10,1
77cSgKSCCEReTRkhhwdZXo,セラミックガール,Perfume,GAME,2008,21
